Day,Word,Mean
1,provide,"제공하다, 공급하다, 준비하다"
1,develop,"개발하다, 발달하다, 발전시키다"
1,service,"서비스, 근무, 봉사, 공공 업무"
1,inform,"알리다, 통지하다"
1,relationship,관계
1,improve,"향상시키다, 나아지다, 향상하다"
1,individual,"개인의, 개인적인, 개인"
1,require,"요구하다, 필요로 하다"
1,advise,"충고하다, 조언하다"
1,social,"사회의, 사교적인"
1,amount,"총액, 총계, 양, 총계가 ~이 되다"
1,behave,행동하다
1,employ,"고용하다, 쓰다"
1,attitude,"태도, 입장"
1,research,"연구하다, 조사하다, 연구, 조사"
1,audience,"청중, 관객"
1,volunteer,"지원자, 자원봉사, 자원봉사자, 지원하다, 자원봉사하다"
1,influence,"영향, 영향을 미치는 것, , 영향을 미치다"
1,terrible,"끔직한, 형편없는, 무서운"
1,opportunity,기회
1,ability,"능력, 재능"
1,expense,"비용, 지출"
1,local,"지역의, 장소의, 지방의"
1,involve,"관련시키다, 포함하다, 관련되다"
1,stress,"스트레스, 긴장, 강조, 강조하다, 압력을 주다"
1,therefore,"그러므로, 그 결과"
1,positive,"긍정적인, 낙관적인, 확신하는"
1,average,"평균의, 보통의, 평균, 보통 수준, 평균 ~이다"
1,ride,"타다, 타기, 태우기, 타고가기"
1,encourage,"격려하다, 권장하다, 부추기다, 촉구하다"
1,determine,"결정하다, 결심하다"
1,international,"국제의, 국제적인"
1,consume,"소비하다, 먹다,"
1,impress,"감동시키다, 깊은 인상을 주다"
1,object,"물건, 물체, 목표, 반대하다"
1,available,"이용할 수 있는, 쓸모있는, 시간이 있는"
1,contain,"들어있다, 포함하다, 함유하다, 억제하다"
1,recognize,"인지하다 , 인정하다, 알아보다"
1,material,"재료, 소재, 물질, 물질의"
1,comfort,"편안, 평안함, 위안, 위로, 편안하게 하다, 위로하다"
2,emotion,감정
2,amaze,놀라게 하다
2,reduce,"줄이다, 낮추다"
2,discover,"발견하다, 알아내다"
2,decide,"결정하다, 결심하다"
2,benefit,"이익, 혜택, 도움이 되다"
2,affect,영향을 미치다
2,level,"수준, 정도, 수평, 수평의"
2,chemistry,화학
2,immediate,"즉각적인, 시급한, 직접적인"
2,thus,"그러므로, 따라서"
2,proper,"적절한, 알맞은"
2,performance,"공연, 성과"
2,essence,"본질, 정수"
2,economic,"경제의, 경제학의"
2,cell,세포
2,focus,"집중하다, 초점"
2,issue,"논란거리, 쟁점, 문제"
2,participate,"참여하다, 참가하다(in)"
2,demand,"요구, 수요, 요구하다"
2,occur,"발생하다, 일어나다, (생각이) 떠오르다"
2,complex,"복잡한, 복잡체, 복합 건물"
2,define,"정의하다, 한계 짓다, 한정하다, 규정하다"
2,proud,자랑스러워하는
2,aware,"인지하는, 인식하고 있는, 알고 있는"
2,contact,"연락하다, 접촉, 연락"
2,profession,"직업, 직종, 전문직"
2,detail,"세부, 세부사항, 상술하다"
2,approach,"접근하다, 접근"
2,career,"직업, 경력"
2,package,"꾸러미, 포장, 포장된 짐, 포장하다"
2,disappear,사라지다
2,novel,소설
2,secure,"안전한, 안정된, 안전하게 하다"
2,fashion,"유행, 패션, 방식, 만들어 내다"
2,despite,~에도 불구하고
2,background,"(그림, 사람, 사건)배경, 배경 지식"
2,solution,"해결, 해결책"
2,generate,"일으키다, 발생시키다"
2,eventually,결국
3,decrease,"줄다, , 줄이다, 감소"
3,recycle,재활용하다
3,desire,"욕구, 욕망, 바라다"
3,balance,"균형, 은행 잔고, 균형을 이루다"
3,negative,부정적인
3,follow,"따라가다,  (규칙을) 따르다"
3,account,"은행 계좌, 이야기, 설명, 설명하다"
3,publish,"발표하다, 출판하다"
3,occasion,"경우, 특별한 일"
3,replace,대체하다
3,constant,"일정한, 불변의, (수학에서의) 상수"
3,expert,전문가
3,term,"용어, 기간, 학기"
3,relieve,"경감하다, 안도시키다"
3,describe,"묘사하다, 표현하다"
3,biology,생물학
3,due,"만기의, ~하기로 되어 있는"
3,equipment,"장치, 장비"
3,congratulate,축하하다
3,birth,탄생
3,compose,"구성하다, 작곡하다, 작문하다"
3,genius,"천재, 천재성"
3,reflect,"반영하다, 반사하다, 숙고하다"
3,cause,"~의 원인이 되다, 야기하다, 원인"
3,frequent,"빈번한, (장소,모임에) 자주 가다"
3,factor,"요인, 요소"
3,extreme,"극단의, 극단"
3,tend,"~하는 경향이 있다, 돌보다"
3,politics,"정치, 정치학"
3,insist,주장하다
3,extend,"연장하다, 넓히다"
3,lonely,외로운
3,habitat,"서식지, 주거지"
3,mental,정신의
3,steady,"안정된, 한결같은, 꾸준한"
3,exchange,교환하다
3,active,"활동적인, 적극적인"
3,species,(생물분류상의) 종
3,athletic,"운동의, 운동경기의"
3,dental,치아의
4,delight,"기쁨, 기쁘게 하다"
4,confident,자신 있는
4,gradually,"점차, 서서히"
4,shadow,"그림자, 그늘지게 하다"
4,access,"접근, 이용, 접근하다"
4,announce,"발표하다, 알리다"
4,allow,"허락하다, 인정하다"
4,firm,"확고한, 단단한, 회사"
4,vary,"바꾸다, 변하다, 다르다"
4,injure,"상처를 입히다, 손상시키다"
4,permit,"허용, 하다"
4,response,"응답, 반응"
4,threat,"위협, 협박"
4,electricity,전기
4,disabled,"장애를 가진, 무능력하게 된"
4,lack,"부족, ~이 부족하다"
4,signify,"의미하다, 중요하다"
4,concentrate,집중하다
4,emphasize,강조하다
4,astronomy,천문학
4,flood,"홍수, 범람시키다"
4,fuel,"연료, 연료를 가하다"
4,manufacture,"제조하다, 제조(업), 제품"
4,movement,"움직임, 운동"
4,capable,"~을 할 수 있는, 유능한"
4,combine,"결합하다, 겸비하다"
4,gene,유전자
4,increase,"(수량이) 증가하다, 증가, 이자"
4,victim,"희생, 피해자"
4,pressure,"압력, 압박, 압력을 가하다"
4,accompany,"동반, 하다, 수반하다"
4,frustrate,좌절시키다
4,construct,건설하다
4,dwindle,"점점 줄어들다, 저하되다"
4,commerce,"상업, 교역"
4,entertain,즐겁게 하다
4,predict,"예언하다, 예측하다"
4,apologize,사과하다
4,sight,"시야, 광경, 시력"
4,quantity,양
5,conclude,"결론짓다, 끝내다"
5,donate,기부하다
5,personality,"개성, 성격, 특색"
5,struggle,"싸우다, 노력하다, 투쟁, 노력"
5,advantage,"유리한 점, 이점"
5,variety,"다양, 다양성"
5,enable,가능하게 하다
5,instruction,"지시, 제품 사용 설명서, 가르침"
5,assume,"추정하다, (태도 등을) 취하다"
5,attempt,"시도하다, 시도"
5,incredible,"믿을 수 없는, (믿기 어려울 만큼) 굉장한"
5,feature,"특징, 특집 기사, 얼굴 생김새, ~을 특징으로 하다, 주연하다"
5,confuse,"혼동하다, 혼란시키다"
5,electronic,전자의
5,absorb,"흡수하다, (사람, 마음을) 열중시키다"
5,indicate,"가리키다, 나타내다"
5,analyze,분석하다
