Day,Word,Mean
1,resume,"이력서, 재개하다, 다시 시작하다"
1,opening,"공석, 개시"
1,applicant,지원자
1,complete an application,지원서를 작성하다
1,submit an application,지원서를 제출하다
1,receive an application,지원서를 받다
1,application,"신청, 지원서, 적용"
1,requirement,"필요조건, 요구"
1,require,요구하다
1,a requirement of,~의 필요조건
1,a requirement for,~의 필요조건
1,meet,"만족시키다, 만나다"
1,fulfil,"충족시키다, 만족시키다, 지키다, 이행하다"
1,meet one's needs,~의 욕구를 만족시키다
1,meet requirements,필요조건을 만족시키다
1,meet customer demand,소비자의 요구를 만족시키다
1,meet expectations,기대를 충족시키다
1,qualified,"자격있는, 적격의"
1,be qualified for,~에 자격이 있다
1,qualifications for,~에 대한 자격
1,qualify,"~에게 자격을 주다, ~의 자격을 얻다"
1,qualification,자격
1,qualifier,"예선 통과자, 예선전"
1,certified,증명된
1,confidence,확신
1,show confidence in,~에 대한 신임을 보이다
1,express confidence in,~에 대한 신임을 보이다
1,confidence in,~에 대한 확신
1,in confidence,비밀로
1,highly,매우
1,competent,"경쟁력 있는, 유능한, 능숙한"
1,recommended,권장되는
1,competitve,경쟁이 심한
1,profitable,수익성 있는
1,professional,"전문적인, 직업의"
1,profession,직업
1,professionally,전문적으로
1,interview,"면접, 면접을 보다"
1,hire,고용하다
1,training,"교육, 훈련"
1,reference,"추천서, 참고"
1,position,"일자리, 직책, 두다"
1,accept a position,일자리를 수락하다
1,apply for a position,일자리에 지원하다
1,achievement,"성취, 달성"
1,achiever,"크게 성공한 사람, 달성자, 우수자"
1,impressed,"인상깊게 생각하는, 감명을 받은"
1,impressive,인상적인
1,excellent,"훌륭한, 탁월한"
1,eligible,"자격이 있는, 적격의"
1,be eligible for membership,회원이 될 자격이 있다
1,be eligible for compensation,보상을 받을 자격이 있다
1,be eligible for position,직위에 오를 자격이 있다
1,be eligible to do,~할 자격이 있다.
1,identify,"알아보다, 확인하다"
1,identification,"신원 확인, 신분증"
1,associate,관련시키다
1,be associated with,~와 관련되다
1,in association with,~와 제휴하여
1,condition,조건
1,employment,고용
1,employee,직원
1,employer,고용인
1,unemployment,실업
1,lack,~이 없다. 부족
1,managerial,관리의
1,manage,"경영하다, 관리하다"
1,supervisory,"관리의, 감독하는"
1,managerial staff,"관리 직원, 경영진"
1,managerial experience,관리직 경력
1,diligent,성실한
1,familiar,친숙한
1,be familiar with,~에 익숙하다
1,proficiency,숙달
1,prospective,미래의
1,prospect,"전망, 예상"
1,appeal,"관심을 끌다, 매력적이다"
1,appeal to + N,"~의 흥미를 끌다, ~에게 호소하다"
1,specialize,~을 전공하다
1,apprehensive,걱정하는
1,consultant,컨설턴트
1,consult + 전문가,~와 상담하다.
1,consult with + 대등한 상대,~와 상의하다
1,consult + 서적,"~을 찾아보다, ~을 참고하다"
1,entitle,자격을 주다
1,be entitled to + N,N에 대한 자격이 주어지다
1,be entitled to do,~할 자격이 주어지다
1,degree,학위
1,payroll,"임금 대장, 급료 명부"
1,on the payroll,고용되어
1,recruit,모집하다
1,recruitment,신규 모집
1,recruiter,신입 모집자
1,certification,"증명서, 증명, 보증"
1,occupation,"직업, 점유"
1,occupant,"임차인, 점유자"
1,wage,"임금 (시급, 월급)"
1,salary,"봉급 (연봉), 급여"
1,conpensation,보상
1,application form,신청서
1,career,"직업, 경력"
1,completion,완료
1,fair,"공정한, 타당한"
1,graduation,졸업
1,in fact,사실은
1,job fair,취업 박람회
1,job offer,일자리 제안
1,newcomer,신입
1,previous job,이전 직업
1,secretary,비서
1,send in,~을 제출하다
1,tidy,"단정한, 깔끔한"
1,trainee,훈련받는 사람
1,apply for,~에 지원하다
1,aptitude,재능
1,be admitted to,~에 입장이 허용되다
1,be advised to do,~할 것을 권유받다
1,criteria,기준
1,decade,10년
1,insufficient,불충분한
1,minimum,최소한의
1,plentiful,풍부한
1,achieve one's goal,목표를 달성하다
1,apprentice,견습생
1,dress formally,정장을 입다
1,dressed in suit,정장을 입은
1,figure out,~을 알아내다
1,full time work,정규직
1,job opportunity,취업 기회
1,job search,구직
1,job seeker,구직자
1,lay out,펼치다
1,letter of recommendation,추천서
1,pay raise,임금 인상
1,practical experience,실무 경험
1,proof of employment,재직 증명서
1,reapply,재신청하다
1,recommendation letter,추천서
1,reference letter,추천서
1,send off to,~로 보내다
1,set up an interview,면접 약속을 잡다
1,take an examination,시험을 치르다
1,zealous,"열심인, 열광적인"
1,cover letter,자기소개서
1,devoted,헌신적인
1,energetic,활동적인
1,enthusiastic,열렬한
1,excel,"능가하다, ~보다 낫다"
1,exclude,제외하다
1,fluently,유창하게
1,get through,"합격하다, 통과하다, 해내다"
1,match,"~에 어울리다, 조화되다, 일치하다"
1,necessity,"필요, 필요성, 필수품"
1,relevant,관련된
1,sigh up for,"~에 등록하다, 신청하다"
1,talented,유능한
1,visiting,"방문, 방문하는"
1,workforce,"노동인구, 직원 수"
1,address the audience,청중에게 연설하다
1,be influenced by appearance,겉모습에 영향을 받다
1,bilingual,2개 국어하는
1,curriculum vitae,이력서
1,diploma,졸업 증서
1,endurance,인내력
1,fluency,유창함
1,fluent in,~에 능숙한
1,go with,받아들이다
1,human resources,"인적 자원, 인사관리"
1,improperly,부적절하게
1,in a positive manner,긍정적으로
1,in the field of,~의 분야에서
1,make A a regular habit,A하는 습관을 들이다
1,make a commitment to,"~에 헌신하다, 전념하다"
1,make a point of ~ing,반드시 ~하다
1,manpower,인력
1,master's degree,석사 학위
1,novice,초심자
1,paycheck,급료
1,send a notification,통지서를 보내다
1,vacancy,"공석, 결원"
1,wanted,"~을 구하는, ~을 모집하는"
1,work history,이력
1,credential,자격 증명서
1,firsthand,직접적인
1,hiring committee,고용 위원회
1,not to mention,~은 말할 것도 없고
1,on occasion,때때로
1,overqualified,필요 이상으로 교육을 받은
1,screening,"심사, 선발"
1,lag,"뒤쳐지다, 뒤떨어지다"
1,on the waiting list,대기자 명단에
1,oriented,~을 지향하는
1,pertaining to,~에 관계된
1,questionably,의심스럽게
1,reqularity,정기적임
1,replenish,보충하다
1,simplicity,간단함
1,stellar,"뛰어난, 별의"
1,versatile,다재다능한
1,adept,"능숙한, 숙달된"
1,against all odds,모든 역경을 딛고
1,command,"명령, 지배력"
1,commensurate,"비례한, 액수가 상응하는"
1,computer literate,컴퓨터 사용 기술을 가진
1,eagerness,열의
1,familiarize oneself with,"~에 정통하다, 익숙하다"
1,increment,"증가, 인상"
1,interpersonal skills,대인 관계 능력
1,mindful,유념하는
1,preeminent,탁월한
1,preliminary,예비의
1,prerequisite,"필수 조건, 필수적인"
1,probationer,견습생
1,sternly,"단호하게, 심하게, 엄하게"
2,attire,복장
2,code,"관례, 암호"
2,concern,"걱정, 걱정스럽게 하다, 영향을 미치다, 관련되다"
2,concern about,~에 대한 걱정
2,concern over,~에 대한 걱정
2,questions concerning,~에 관한 질문
2,policy,규정
2,comply,준수하다
2,comply with,준수하다
2,observe + O,"준수하다, 관찰하다"
2,obey,"준수하다, 복종하다"
2,regulation,규정
2,custom regulations,관세 규정
2,exception,예외
2,exceptional,"예외적인, 뛰어난"
2,exceptionally,"예외적으로, 대단히"
2,with the exception of,~을 제외하고
2,with very few exceptions,거의 예외없이
2,adhere,지키다
2,do best to,최선을 다하다
2,adhere to,~를 지키다
2,severely,엄격하게
2,refrain,자제하다
2,permission,"승인, 허락"
2,refrain from,~을 자제하다
2,access,"이용 권한, 접근, 도달하다"
2,have access to,~에 접근 권한을 가지고 있다
2,access the documents,문서를 열람하다
2,thoroughly,철저하게
2,revise,수정하다
2,approach,"접근법, 처리방법, 다가오다"
2,approval,승인
2,obtain approval for,~에 대한 승인을 받다
2,formal,"공식적인, 형식적인"
2,a form of identification,신분증 한 가지
2,immediately,즉시
2,immediately after,직후
2,immediately upon arrival,도착 즉시
2,inspection,"점검, 검사"
2,arrangement,"준비, 마련, 배열, 정돈"
2,make arrangements to do,~할 준비하다
2,make arrangements for,~의 준비를 하다
2,procedure,"절차, 순서"
2,proceed,"나아가다, 진행하다"
2,procedual,절차상의
2,mandate,"명령하다, 권한"
2,effect,"효과, 결과로서 ~을 가져오다"
2,in effect,효력 있는
2,come into effect,"실시되다, 발효되다"
2,take effect,"효력이 나타나다, 시행되다"
2,have on effect on,~에 영향을 미치다
2,secondary effect,부수적 효과
2,drastically,"심하게, 과감하게"
2,according to,~에 따라
2,enable,가능하게 하다
2,constant,지속적인
2,constantly,끊임없이
2,act,"법령, 결의서, 행동, 결정하다, 판결을 내리다, 행동하다"
2,compensation for,~에 대한 보상
2,obligation,"의무, 책임"
2,authorize,"~을 허가하다, 권한을 부여하다"
2,reproduction,"복제, 모조품, 재생"
2,prohibit,금지하다
2,abolish,폐지하다
2,abolition,폐지
2,enforce,"시행하다, 집행하다"
2,enforce regulations,규정을 시행하다
2,habit,"습관, 버릇"
2,convention,"관례, 관습, 회의"
2,legislation,"법률, 법규"
2,restrict,제한하다
2,restrict A to B,A를 B로 한정하다
2,lift a restriction,제한을 풀다
2,raise a restriction,제한을 풀다
2,prohibit A from ~ing,A가 ~ing 하는 것을 금지하다
2,Keep A form ~ing,A가 ~ing 하는 것을 금지하다
2,forbid A from ~ ing,A가 ~ing 하는 것을 금지하다
2,bend over,몸을 앞으로 숙이다
2,by oneself,혼자 힘으로
2,get used to,~에 익숙해지다
2,if it's okay with you,당신만 괜찮다면
2,in case of,~의 경우에는
2,in rows,"줄지어, 여러 줄로"
2,legal,"법률의, 합법적인"
2,let go,놓아주다
2,dress,옷을 차려입다
2,have a problem  ~ing,~하는 데 문제가 있다
2,seldom,드물게 
2,theft,절도
2,witness,"목격자, 증인"
2,against the law,법에 위배되는
2,by all means,반드시
2,by mistake,실수로
2,come to an end,끝나다
2,company regulations,회사 규정
2,give directions,"일을 지시하다, 방향을 알려주다"
2,hold up,"견디다, 떠받치다"
2,if I'm not mistaken,제 기억이 옳다면
2,in progress,진행중인
2,keep in mind,명심하다
2,legal counsel,법률 상담
2,suspect,"용의자, 의심하다"
2,take one's advice,~의 충고를 따르다
2,to one's advantage,~에게 유리하다
2,under control,관리하에 있는
2,under the supervision of,~의 감독하에
2,abuse,남용하다
2,alert,"경고하다, 주의하는"
2,assessment,평가
2,at all times,항상
2,authorization,위임
2,concerning,~에 관하여
2,consideration,고려
2,defensive,방어적인
2,depiction,"묘사, 서술"
2,disobedient,반항하는
2,endure,"견디다, 참다"
2,exemplary,"모범적인, 대표적인"
2,ignore,무시하다
2,illegal,불법의
2,in accordance with,"~에 따라서, ~과 일치하여"
2,indecisive,우유부단한
2,justly,"정당하게, 당연히"
2,observance,준수
2,on-site,현장의
2,penalty,벌금
2,pointed,"예리한, 날카로운, 적절한"
2,precious,귀중한
2,principle,원칙
2,punishment,처벌
2,regulate,"규제하다, 조절하다"
2,restricted area,제한구역
2,safety inspection,안전 점검
2,suppress,"억누르다, 금지하다"
2,tensely,"긴장하여, 딱딱하게"
2,unauthorized,인가받지 않은
2,with respect to,~에 관하여
2,accuse A of B,A를 B로 비난하다
2,assess,평가하다
2,attorney,변호사
2,be absent from,~에 결석하다
2,be allowed to do,~하도록 허락받다
2,by way of,"~의 방법으로, ~에 의해서"
2,distrust,의심하다
2,from this day onward,오늘부터
2,have permission to do,~할 허가를 받다
2,in a strict way,엄격하게
2,make clear,분명히 하다
2,ministry,부서
2,newly established,신설된
2,put into effect,~을 실행하다
2,registration confirmation,등록 확인
2,stand over,옆에서 지켜보다
2,warn,경고하다
2,without respect to,~을 무시하고
2,commonplace,"흔한일, 흔한"
2,protective smock,보호 작업복
2,testimony,증언
2,accordance,"일치, 조화"
2,crucial,중요한
2,deviation,"일탈, 탈선"
